1301,5000,0.5,Amira Bezine,0.5,0.4913279103944391
1045,5000,0.5,Amira Bezine,0.5,0.805484548058801
3040,5000,0.5,Amira Bezine,0.5,0.4904384904824216
3824,5000,0.5,Amira Bezine,0.5,0.8112616671354478
5103,5000,0.5,Amira Bezine,0.5,0.6603455428865561
75,5000,0.5,Amira Bezine,0.5,0.7617227569245589
5074,5000,0.5,Amira Bezine,0.5,0.39600415773964026
5631,5000,0.5,Amira Bezine,0.5,0.8483443909823785
4853,5000,0.5,Amira Bezine,0.5,0.4078014825473122
7536,5000,0.5,Amira Bezine,0.5,0.5568118087968027
9960,9000,0.09999999999999998,Samer Ben,0.09999999999999998,0.12151609201045632
9357,9000,0.09999999999999998,Samer Ben,0.09999999999999998,0.09150895383595761
3533,1000,0.9,Salma Borcheni,0.9,1.4981389714963869
7529,1000,0.9,Salma Borcheni,0.9,1.359059104607034
1300,9000,0.09999999999999998,Samer BenMim,0.09999999999999998,0.15915314145775802
